time,speed_kmh,P_load_kW,P_fc_kW,P_bat_kW,SOC,m_H2_cumul_kg,H2_eq_kg
802,3.7,0.08604459051592739,8.135593220338983,-8.049548629823056,0.5694844944403232,0.00716658612458854,0.14026792876977712
803,3.3,0.05542845113168707,8.135593220338983,-8.080164769207295,0.5696103883069958,0.007307431195011075,0.14026792876977712
804,2.9,0.04863599624676116,8.135593220338983,-8.086957224092222,0.5697367581384547,0.00744827626543361,0.14026792876977712
805,2.5,0.02579702741579034,9.661016949152541,-9.635219921736752,0.5698632325158092,0.007610392306389241,0.14026792876977712
806,2.0,0.007731329065691195,9.661016949152541,-9.65328562008685,0.5700138270064967,0.0077725083473448725,0.14026792876977712
807,1.5,0.0057715406378600785,9.661016949152541,-9.65524540851468,0.5701647008716852,0.007934624388300502,0.14026792876977712
808,1.0,0.003834857491236098,10.169491525423728,-10.165656667932492,0.5703156033361654,0.008103543307219421,0.14026792876977712
809,0.5,0.0019135778654168541,10.169491525423728,-10.167577947558312,0.5704744490821995,0.00827246222613834,0.14026792876977712
810,0.0,0.0,10.169491525423728,-10.169491525423728,0.5706333226084773,0.008441381145057261,0.14026792876977712
811,0.0,0.0,10.169491525423728,-10.169491525423728,0.5707922237939872,0.00861030006397618,0.14026792876977712
812,0.0,0.0,10.169491525423728,-10.169491525423728,0.5709511228575878,0.008779218982895099,0.14026792876977712
813,0.0,0.0,10.169491525423728,-10.169491525423728,0.5711100197993638,0.008948137901814018,0.14026792876977712
814,0.0,0.0,10.169491525423728,-10.169491525423728,0.5712689146194001,0.009117056820732937,0.14026792876977712
815,0.0,0.0,10.169491525423728,-10.169491525423728,0.5714278073177814,0.009285975739651857,0.14026792876977712
816,0.0,0.0,10.169491525423728,-10.169491525423728,0.5715866978945925,0.009454894658570776,0.14026792876977712
817,0.0,0.0,10.169491525423728,-10.169491525423728,0.5717455863499181,0.009623813577489695,0.14026792876977712
818,0.0,0.0,9.661016949152541,-9.661016949152541,0.571904472683843,0.009785929618445327,0.14026792876977712
819,0.0,0.0,9.661016949152541,-9.661016949152541,0.5720554429258576,0.009948045659400957,0.14026792876977712
820,0.0,0.0,9.661016949152541,-9.661016949152541,0.5722064112519281,0.010110161700356588,0.14026792876977712
821,0.0,0.0,9.661016949152541,-9.661016949152541,0.5723573776621272,0.01027227774131222,0.14026792876977712
822,0.0,0.0,9.661016949152541,-9.661016949152541,0.5725083421565278,0.010434393782267851,0.14026792876977712
823,0.0,0.0,9.661016949152541,-9.661016949152541,0.5726593047352025,0.010596509823223481,0.14026792876977712
824,0.0,0.0,9.661016949152541,-9.661016949152541,0.5728102653982242,0.010758625864179113,0.14026792876977712
825,0.0,0.0,9.661016949152541,-9.661016949152541,0.5729612241456655,0.010920741905134744,0.14026792876977712
826,0.0,0.0,9.661016949152541,-9.661016949152541,0.5731121809775993,0.011082857946090374,0.14026792876977712
827,0.0,0.0,9.661016949152541,-9.661016949152541,0.5732631358940982,0.011244973987046006,0.14026792876977712
828,0.0,0.0,9.661016949152541,-9.661016949152541,0.5734140888952349,0.011407090028001637,0.14026792876977712
829,0.0,0.0,9.661016949152541,-9.661016949152541,0.5735650399810822,0.011569206068957267,0.14026792876977712
830,65.7,98.6380369861111,9.661016949152541,88.97702003695856,0.5737159891517128,0.011731322109912899,0.14026792876977712
831,66.0,9.994846707818894,9.661016949152541,0.33382975866635256,0.5722671087597914,0.01189343815086853,0.14026792876977712
832,66.3,10.493611923353937,9.152542372881356,1.3410695504725805,0.5722618715374636,0.012048610564661633,0.14026792876977712
833,66.7,11.022244523643485,8.64406779661017,2.378176727033315,0.5722408239656281,0.012196694188355013,0.14026792876977712
834,67.1,11.125222941034126,8.135593220338983,2.9896297206951434,0.5722034838602876,0.012337539258777548,0.14026792876977712
835,67.5,11.662890625000054,8.135593220338983,3.5272974046610717,0.5721565316127015,0.012478384329200084,0.14026792876977712
836,68.0,12.233834552659667,8.135593220338983,4.0982413323206845,0.5721011231323694,0.01261922939962262,0.14026792876977712
837,68.5,12.371798141956269,7.627118644067796,4.744679497888473,0.5720367309672065,0.012754445745776466,0.14026792876977712
838,69.0,12.51081687242794,7.627118644067796,4.883698228360144,0.5719621621481608,0.012889662091930314,0.14026792876977712
839,69.5,12.650898445835193,7.627118644067796,5.023779801767397,0.5718854037037159,0.01302487843808416,0.14026792876977712
840,70.0,12.792050563938435,7.627118644067796,5.164931919870639,0.5718064386070385,0.013160094784238007,0.14026792876977712
841,70.5,12.934280928497953,7.627118644067796,5.307162284430158,0.5717252497025418,0.013295311130391854,0.14026792876977712
842,71.0,13.077597241274207,7.627118644067796,5.450478597206411,0.5716418197057458,0.0134305274765457,0.14026792876977712
843,71.5,13.222007204027602,7.627118644067796,5.594888559959806,0.5715561312031355,0.013565743822699547,0.14026792876977712
844,72.0,13.367518518518533,7.627118644067796,5.740399874450738,0.5714681666520178,0.013700960168853393,0.14026792876977712
845,72.5,13.047960902968297,7.627118644067796,5.420842258900501,0.5713779083803757,0.01383617651500724,0.14026792876977712
846,72.9,12.694738874999986,7.627118644067796,5.0676202309321905,0.5712926848988763,0.013971392861161088,0.14026792876977712
847,73.3,12.808413497237451,7.627118644067796,5.181294853169655,0.571213025290395,0.014106609207314933,0.14026792876977712
848,73.7,12.448916696521081,7.627118644067796,4.8217980524532855,0.5711315745267874,0.01424182555346878,0.14026792876977712
849,74.0,12.05743914799575,7.627118644067796,4.430320503927954,0.57105578551266,0.014377041899622627,0.14026792876977712
850,74.3,12.140265982186426,7.627118644067796,4.51314733811863,0.5709861602216756,0.014512258245776474,0.14026792876977712
851,74.6,11.743823759792658,7.627118644067796,4.116705115724862,0.5709152304798538,0.014647474591930321,0.14026792876977712
852,74.8,10.836325878067406,7.627118644067796,3.20920723399961,0.5708505412109407,0.014782690938084167,0.14026792876977712
853,74.9,10.380717025053377,7.627118644067796,2.753598380985581,0.5708001302701136,0.014917907284238014,0.14026792876977712
854,75.0,9.92386831275715,7.627118644067796,2.2967496686893547,0.5707568838341129,0.01505312363039186,0.14026792876977712
855,75.0,9.441615226337447,7.627118644067796,1.8144965822696513,0.5707208188592091,0.015188339976545707,0.14026792876977712
856,75.0,8.959362139917742,7.627118644067796,1.332243495849946,0.5706923319230319,0.015323556322699555,0.14026792876977712
857,74.9,8.454276695835212,7.627118644067796,0.827158051767416,0.5706714201632646,0.0154587726688534,0.14026792876977712
858,74.8,7.950523408931524,7.627118644067796,0.32340476486372793,0.5706584391477344,0.015593989015007248,0.14026792876977712
859,74.6,6.94701306020429,7.627118644067796,-0.6801055838635062,0.570653364805333,0.015729205361161094,0.14026792876977712
860,74.3,6.4072412908283605,8.135593220338983,-1.7283519295106222,0.5706640316543572,0.01587005043158363,0.14026792876977712
861,74.0,6.347562604785835,8.135593220338983,-1.788030615553148,0.5706911279759717,0.016010895502006163,0.14026792876977712
862,73.7,5.814400235615786,8.135593220338983,-2.321192984723197,0.5707191591832238,0.0161517405724287,0.14026792876977712
863,73.3,5.267261233862992,8.64406779661017,-3.376806562747178,0.5707555410496157,0.01629982419612208,0.14026792876977712
864,72.9,5.194738875000014,9.661016949152541,-4.466278074152528,0.5708084460111773,0.016461940237077713,0.14026792876977712
865,72.5,4.656757199264593,9.661016949152541,-5.004259749887948,0.5708783893350645,0.016624056278033345,0.14026792876977712
866,72.0,4.108259259259246,9.661016949152541,-5.552757689893295,0.570956740445775,0.016786172318988976,0.14026792876977712
867,71.5,4.0270483562909485,9.661016949152541,-5.633968592861593,0.5710436598589176,0.016948288359944604,0.14026792876977712
868,71.0,3.9469388050601903,9.661016949152541,-5.714078144092351,0.5711318470140295,0.017110404400900236,0.14026792876977712
869,70.5,3.86792290380657,9.661016949152541,-5.793094045345971,0.5712212846021368,0.017272520441855867,0.14026792876977712
870,70.0,3.7899929507696855,9.661016949152541,-5.8710239983828565,0.5713119554379359,0.0174346364828115,0.14026792876977712
871,69.5,3.713141244189191,9.661016949152541,-5.947875704963351,0.5714038424597312,0.01759675252376713,0.14026792876977712
872,69.0,3.6373600823045713,9.661016949152541,-6.02365686684797,0.5714969287293735,0.017758868564722762,0.14026792876977712
873,68.5,3.5626417633554213,9.661016949152541,-6.098375185797121,0.571591197432199,0.01792098460567839,0.14026792876977712
