time,speed_kmh,P_load_kW,P_fc_kW,P_bat_kW,SOC_true,SOC_est,SOC_open,m_H2_cumul_kg,H2_eq_kg
52,15.7,0.0,0.0,0.0,0.5971380627711947,0.5949334870634212,0.5965840124012186,0.0,0.28270105892538666
53,13.1,0.0,0.0,0.0,0.5971380627711947,0.5973669084607482,0.5965733493059733,0.0,0.28270105892538666
54,12.1,0.0,0.0,0.0,0.5971380627711947,0.5976040394856541,0.596556998789581,0.0,0.28270105892538666
55,12.0,0.7580843621399178,0.0,0.7580843621399178,0.5971380627711947,0.5971103341481951,0.5965451722607179,0.0,0.28270105892538666
56,12.0,0.8352448559670781,0.0,0.8352448559670781,0.5971261927232737,0.5970631790509159,0.5965275210217282,0.0,0.28270105892538666
57,12.0,1.0667263374485612,0.0,1.0667263374485612,0.5971131140860313,0.6027325391807833,0.5965031639672359,0.0,0.28270105892538666
58,12.3,1.3315838060699599,0.0,1.3315838060699599,0.597096409253238,0.599557940184569,0.5964758823593448,0.0,0.28270105892538666
59,12.6,2.8233613333333314,0.0,2.8233613333333314,0.5970755545527204,0.5951860561444525,0.5964440129692985,0.0,0.28270105892538666
60,14.7,3.586140592078189,0.0,3.586140592078189,0.5970313099308915,0.5981839203312012,0.5963854827285403,0.0,0.28270105892538666
61,15.3,2.2596473194444466,0.0,2.2596473194444466,0.5969750945749349,0.5952913544145984,0.5963159589505086,0.0,0.28270105892538666
62,15.9,2.044604528292181,0.0,2.044604528292181,0.5969396915063644,0.5932245917065658,0.5962655481199632,0.0,0.28270105892538666
63,16.2,2.3972839999999986,0.0,2.3972839999999986,0.5969076602702778,0.6007694893817367,0.5962207756141716,0.0,0.28270105892538666
64,17.1,2.975543995370371,0.0,2.975543995370371,0.5968700985039868,0.5968101188809273,0.5961748542265616,0.0,0.28270105892538666
65,17.8,2.4150870166133207,0.0,2.4150870166133207,0.5968234654039904,0.5956815458387934,0.5961168332061066,0.0,0.28270105892538666
66,18.1,1.9922575617093403,0.0,1.9922575617093403,0.5967856241536932,0.5966078638624243,0.5960721882431179,0.0,0.28270105892538666
67,18.4,3.9203515214144202,0.0,3.9203515214144202,0.5967544132399932,0.5978006454922358,0.5960328170619561,0.0,0.28270105892538666
68,20.3,7.734274284655538,0.0,7.734274284655538,0.5966929492521852,0.6006057162729981,0.5959627959192432,0.0,0.28270105892538666
69,23.2,10.957702094802615,0.0,10.957702094802615,0.5965715042402608,0.5971434882694479,0.5958324154997976,0.0,0.28270105892538666
70,26.5,13.242556972546113,0.0,13.242556972546113,0.5963992197883293,0.5938776035870521,0.5956467601667067,0.0,0.28270105892538666
71,29.8,13.990408799878068,0.0,13.990408799878068,0.5961908165187673,0.5985283046982405,0.5954266139528819,0.0,0.28270105892538666
72,32.6,12.219144720012185,0.0,12.219144720012185,0.5959705736341093,0.5972755305143389,0.5951997251883199,0.0,0.28270105892538666
73,34.4,9.176135798201491,0.0,9.176135798201491,0.5957783484830546,0.5981042358537038,0.5949956670295034,0.0,0.28270105892538666
74,35.5,7.443190846002894,0.0,7.443190846002894,0.5956341685301898,0.593440625569211,0.5948438119397244,0.0,0.28270105892538666
75,36.4,7.422026048163381,0.0,7.422026048163381,0.5955172972696653,0.5955843252805129,0.5947143797304064,0.0,0.28270105892538666
