time,speed_kmh,P_load_kW,P_fc_kW,P_bat_kW,SOC,m_H2_cumul_kg,H2_eq_kg
1001,77.2,9.487620489864401,9.661016949152541,-0.1733964592881403,0.5876894331234305,0.08040526364311129,0.2975864553390647
1002,77.2,9.487620489864273,9.661016949152541,-0.1733964592882682,0.5876921493217441,0.08056737968406694,0.2975864553390647
1003,77.1,9.463114262860003,9.661016949152541,-0.19790268629253838,0.5876948655194337,0.08072949572502257,0.2975864553390647
1004,77.1,9.46311426286013,9.661016949152541,-0.19790268629241226,0.5876979655680845,0.08089161176597821,0.2975864553390647
1005,77.0,9.438655540314027,9.661016949152541,-0.2223614088385144,0.5877010656159225,0.08105372780693385,0.2975864553390647
1006,77.0,9.438655540313963,9.661016949152541,-0.22236140883857836,0.5877045487627937,0.08121584384788949,0.2975864553390647
1007,76.9,9.414244260611936,9.661016949152541,-0.24677268854060586,0.5877080319086386,0.08137795988884512,0.2975864553390647
1008,76.9,9.908714425221001,9.661016949152541,0.24769747606845982,0.5877118974025491,0.08154007592980077,0.2975864553390647
1009,76.9,9.414244260611936,9.661016949152541,-0.24677268854060586,0.5877080166610303,0.0817021919707564,0.2975864553390647
1010,76.8,9.389880362139902,9.661016949152541,-0.27113658701263965,0.5877118821549459,0.08186430801171204,0.2975864553390647
1011,76.8,9.883707522633744,9.661016949152541,0.22269057348120214,0.5877161292470451,0.08202642405266768,0.2975864553390647
1012,76.8,9.883707522633744,9.661016949152541,0.22269057348120214,0.5877126403311937,0.08218854009362332,0.2975864553390647
1013,76.8,9.883707522633744,9.661016949152541,0.22269057348120214,0.5877091514143125,0.08235065613457895,0.2975864553390647
1014,76.8,9.883707522633744,9.661016949152541,0.22269057348120214,0.5877056624964013,0.0825127721755346,0.2975864553390647
1015,76.8,9.883707522633744,9.661016949152541,0.22269057348120214,0.5877021735774602,0.08267488821649023,0.2975864553390647
1016,76.8,9.883707522633744,9.661016949152541,0.22269057348120214,0.5876986846574892,0.08283700425744588,0.2975864553390647
1017,76.8,9.883707522633744,9.661016949152541,0.22269057348120214,0.5876951957364883,0.08299912029840151,0.2975864553390647
1018,76.8,10.377534683127584,9.661016949152541,0.7165177339750421,0.5876917068144575,0.08316123633935714,0.2975864553390647
1019,76.9,10.40318458983007,9.661016949152541,0.742167640677529,0.587680478829651,0.08332335238031278,0.2975864553390647
1020,76.9,9.908714425221001,9.661016949152541,0.24769747606845982,0.5876688487756127,0.08348546842126842,0.2975864553390647
1021,76.9,10.40318458983007,9.661016949152541,0.742167640677529,0.5876649680199586,0.08364758446222406,0.2975864553390647
1022,77.0,10.428881877762551,9.661016949152541,0.7678649286100097,0.5876533379506509,0.0838097005031797,0.2975864553390647
1023,77.0,10.428881877762487,9.661016949152541,0.7678649286099457,0.5876413050594804,0.08397181654413534,0.2975864553390647
1024,77.1,10.454626608539044,9.661016949152541,0.7936096593865027,0.5876292721560539,0.08413393258509097,0.2975864553390647
1025,77.1,9.958870435699588,9.661016949152541,0.29785348654704613,0.5876168356771946,0.08429604862604662,0.2975864553390647
1026,77.1,9.958870435699588,9.661016949152541,0.29785348654704613,0.587612168997643,0.08445816466700225,0.2975864553390647
1027,77.1,9.958870435699588,9.661016949152541,0.29785348654704613,0.5876075023162487,0.08462028070795789,0.2975864553390647
1028,77.1,9.958870435699588,9.661016949152541,0.29785348654704613,0.5876028356330116,0.08478239674891352,0.2975864553390647
1029,77.1,9.958870435699588,9.661016949152541,0.29785348654704613,0.5875981689479318,0.08494451278986917,0.2975864553390647
1030,77.1,9.958870435699588,9.661016949152541,0.29785348654704613,0.5875935022610093,0.0851066288308248,0.2975864553390647
1031,77.1,9.958870435699588,9.661016949152541,0.29785348654704613,0.587588835572244,0.08526874487178045,0.2975864553390647
1032,77.1,9.958870435699588,9.661016949152541,0.29785348654704613,0.5875841688816359,0.08543086091273608,0.2975864553390647
1033,77.1,9.46311426286013,9.661016949152541,-0.19790268629241226,0.5875795021891851,0.08559297695369172,0.2975864553390647
1034,77.0,9.438655540314027,9.661016949152541,-0.2223614088385144,0.5875826022680853,0.08575509299464736,0.2975864553390647
1035,77.0,9.933768709038256,9.661016949152541,0.27275175988571476,0.5875860854498567,0.08591720903560299,0.2975864553390647
1036,77.0,9.438655540313963,9.661016949152541,-0.22236140883857836,0.5875818120882119,0.08607932507655863,0.2975864553390647
1037,76.9,9.414244260611936,9.661016949152541,-0.24677268854060586,0.5875852952702161,0.08624144111751426,0.2975864553390647
1038,76.9,9.414244260611936,9.661016949152541,-0.24677268854060586,0.5875891608042542,0.08640355715846991,0.2975864553390647
1039,76.8,9.389880362139902,10.169491525423728,-0.7796111632838265,0.5875930263370284,0.08657247607738883,0.2975864553390647
1040,76.8,9.883707522633744,10.169491525423728,-0.2857840027899847,0.5876052358468091,0.08674139499630774,0.2975864553390647
1041,76.8,9.389880362139964,10.169491525423728,-0.7796111632837643,0.5876097123908107,0.08691031391522666,0.2975864553390647
