time,speed_kmh,P_load_kW,P_fc_kW,P_bat_kW,SOC_true,SOC_est,SOC_open,m_H2_cumul_kg,H2_eq_kg
635,3.0,1.3620596707818928,0.0,1.3620596707818928,0.5779275338910743,0.5797192084928536,0.5708050072288581,0.0009859823966499657,0.13473220852730938
636,6.0,2.7257829218106995,0.0,2.7257829218106995,0.5779061669736256,0.5798719041693926,0.5707694977832966,0.0009859823966499657,0.13473220852730938
637,9.0,4.092833333333333,0.0,4.092833333333333,0.5778633836791014,0.5777834999889838,0.5707186375797854,0.0009859823966499657,0.13473220852730938
638,12.0,5.464874485596708,0.0,5.464874485596708,0.5777991081004316,0.5781377187932394,0.5706398811741711,0.0009859823966499657,0.13473220852730938
639,15.0,3.9500514403292204,0.0,3.9500514403292204,0.5777132377647102,0.5787724948398357,0.570536457145283,0.0009859823966499657,0.13473220852730938
640,15.0,1.0565329218106998,0.0,1.0565329218106998,0.5776512072461929,0.5773155806201602,0.5704627820458866,0.0009859823966499657,0.13473220852730938
641,15.0,4.335853909465018,0.0,4.335853909465018,0.5776346348226431,0.5771883433529917,0.570434727564268,0.0009859823966499657,0.13473220852730938
642,18.4,9.362738352690135,0.0,9.362738352690135,0.5775665347994038,0.5796571914409206,0.5703535494613713,0.0009859823966499657,0.13473220852730938
643,21.8,11.123407370217956,0.0,11.123407370217956,0.5774191832684266,0.5751289469816375,0.57019727012334,0.0009859823966499657,0.13473220852730938
644,25.2,12.899603629629633,0.0,12.899603629629633,0.5772439956620429,0.5778053455090002,0.5700160719763261,0.0009859823966499657,0.13473220852730938
645,28.6,14.693748810852005,0.0,14.693748810852005,0.5770406850206448,0.5724298916485069,0.5698047151310562,0.0009859823966499657,0.13473220852730938
646,32.0,9.51237982014937,0.0,9.51237982014937,0.5768089244961634,0.5812188059507302,0.5695607641104512,0.0009859823966499657,0.13473220852730938
647,32.0,2.516495046486816,0.0,2.516495046486816,0.5766591991939801,0.5800602743036529,0.5693999445608,0.0009859823966499657,0.13473220852730938
648,32.0,2.516495046486816,0.0,2.516495046486816,0.5766196999600254,0.5774845284669528,0.5693491069119604,0.0009859823966499657,0.13473220852730938
649,32.0,2.516495046486816,0.0,2.516495046486816,0.576580200593697,0.5762105513859576,0.5692959434442904,0.0009859823966499657,0.13473220852730938
650,32.0,2.516495046486816,0.0,2.516495046486816,0.5765407010949936,0.5771838314896525,0.5692445900780478,0.0009859823966499657,0.13473220852730938
651,32.0,2.516495046486816,0.0,2.516495046486816,0.5765012014639138,0.5789961866967295,0.5691958351426727,0.0009859823966499657,0.13473220852730938
652,32.0,2.516495046486816,0.0,2.516495046486816,0.5764617017004564,0.5755400521049079,0.5691457102674283,0.0009859823966499657,0.13473220852730938
653,32.0,2.516495046486816,0.0,2.516495046486816,0.57642220180462,0.5741011628332777,0.5690936089553599,0.0009859823966499657,0.13473220852730938
654,32.0,2.516495046486816,0.0,2.516495046486816,0.5763827017764034,0.5756569563193048,0.5690429195350394,0.0009859823966499657,0.13473220852730938
655,32.0,2.516495046486816,0.0,2.516495046486816,0.5763432016158051,0.5772237874475838,0.5689892918867582,0.0009859823966499657,0.13473220852730938
656,32.0,2.516495046486816,0.0,2.516495046486816,0.5763037013228238,0.5784740610249529,0.5689387500019956,0.0009859823966499657,0.13473220852730938
657,32.0,2.516495046486816,0.0,2.516495046486816,0.5762642008974582,0.5782435798284521,0.5688842767778827,0.0009859823966499657,0.13473220852730938
658,32.0,2.516495046486816,0.0,2.516495046486816,0.576224700339707,0.5738692062210536,0.568833636351743,0.0009859823966499657,0.13473220852730938
659,32.0,2.516495046486816,0.0,2.516495046486816,0.5761851996495687,0.5747723598588353,0.5687859831995578,0.0009859823966499657,0.13473220852730938
660,32.0,2.516495046486816,0.0,2.516495046486816,0.5761456988270421,0.5752987843399621,0.5687370643553705,0.0009859823966499657,0.13473220852730938
661,32.0,2.516495046486816,0.0,2.516495046486816,0.5761061978721259,0.577075431470835,0.5686862949284407,0.0009859823966499657,0.13473220852730938
662,32.0,2.516495046486816,0.0,2.516495046486816,0.5760666967848187,0.577507272439288,0.5686358785599614,0.0009859823966499657,0.13473220852730938
663,32.0,2.516495046486816,0.0,2.516495046486816,0.5760271955651193,0.5719847337543434,0.5685850871335542,0.0009859823966499657,0.13473220852730938
664,32.0,2.516495046486816,0.0,2.516495046486816,0.5759876942130262,0.5744138171540273,0.5685370839353328,0.0009859823966499657,0.13473220852730938
665,32.0,2.516495046486816,0.0,2.516495046486816,0.5759481927285381,0.576851005933565,0.5684898316029081,0.0009859823966499657,0.13473220852730938
666,32.0,2.516495046486816,0.0,2.516495046486816,0.5759086911116538,0.5790018027944005,0.5684349667892672,0.0009859823966499657,0.13473220852730938
