t_s,I_A,V_V,SOC_true,SOC_ekf
830.0,5.0,3.762585142779057,0.7694444444444443,0.6454566727492563
840.0,5.0,3.7602070977374575,0.7666666666666666,0.6441648600942975
850.0,5.0,3.757815255757341,0.7638888888888887,0.6427967485244812
860.0,5.0,3.7554089321925033,0.761111111111111,0.6413561163717416
870.0,5.0,3.7529874715745066,0.7583333333333332,0.6398465576953406
880.0,5.0,3.7505517206852614,0.7555555555555554,0.6382715345920038
890.0,5.0,3.748102208826329,0.7527777777777777,0.6366343637710075
900.0,5.0,3.745637774774284,0.7499999999999999,0.634938153422572
910.0,5.0,3.7431581332696826,0.7472222222222221,0.633185838266553
920.0,5.0,3.7406630102084013,0.7444444444444444,0.6313801829280248
930.0,5.0,3.73815214442516,0.7416666666666666,0.629523786332489
940.0,5.0,3.7356252415349775,0.7388888888888888,0.6276190850944876
950.0,5.0,3.733082020987734,0.736111111111111,0.6256683593106488
960.0,5.0,3.730521791453703,0.7333333333333333,0.6236737225170225
970.0,5.0,3.727941586753544,0.7305555555555555,0.6216370406203128
980.0,5.0,3.725342115023403,0.7277777777777777,0.6195600823233486
990.0,5.0,3.722722702315611,0.725,0.6174444711260136
1000.0,5.0,3.720082674682499,0.7222222222222221,0.6152916921211598
1010.0,5.0,3.7174234917538698,0.7194444444444443,0.6131031816781018
1020.0,5.0,3.714743777329316,0.7166666666666666,0.61088022135228
1030.0,5.0,3.7120430944289233,0.7138888888888888,0.6086239818770337
1040.0,5.0,3.7093210395714644,0.711111111111111,0.606335530599878
1050.0,5.0,3.706574912010205,0.7083333333333333,0.6040157473899646
1060.0,5.0,3.703804263321063,0.7055555555555555,0.601665421465427
1070.0,5.0,3.701008744420325,0.7027777777777777,0.5992852607916522
1080.0,5.0,3.698187569164475,0.7,0.5968758800088086
1090.0,5.0,3.695341710858415,0.6972222222222222,0.5950499920380252
1100.0,5.0,3.692471410899839,0.6944444444444443,0.5931328512702484
1110.0,5.0,3.689575466519004,0.6916666666666665,0.5911279221300688
1120.0,5.0,3.686653501023011,0.6888888888888888,0.5890385446792619
1130.0,5.0,3.683704766164296,0.686111111111111,0.5868679149994842
1140.0,5.0,3.6807282675067485,0.6833333333333332,0.5846190717623222
1150.0,5.0,3.6777238646115444,0.6805555555555555,0.5822949244948125
1160.0,5.0,3.674691046303936,0.6777777777777777,0.5798982383623528
1170.0,5.0,3.671630695611679,0.6749999999999998,0.5774316852544358
1180.0,5.0,3.66854868581418,0.672222222222222,0.5748980292497958
1190.0,5.0,3.665442138453023,0.6694444444444443,0.5722997988655166
1200.0,5.0,3.66231154259661,0.6666666666666665,0.5696394160641413
1210.0,5.0,3.659157565479349,0.6638888888888888,0.5669192049983166
1220.0,5.0,3.6559883667609894,0.661111111111111,0.564141677801399
1230.0,5.0,3.652801661219803,0.6583333333333332,0.5613091361567625
1240.0,5.0,3.6495989099473958,0.6555555555555554,0.5584238186382767
1250.0,5.0,3.646381574035372,0.6527777777777777,0.5554879032089334
1260.0,5.0,3.6431644398136775,0.6499999999999999,0.5525040210707218
1270.0,5.0,3.639950631186328,0.6472222222222221,0.5494748003646436
1280.0,5.0,3.636744608510012,0.6444444444444443,0.5464029188148359
1290.0,5.0,3.6335531029596972,0.6416666666666665,0.5426819127516149
1300.0,5.0,3.6303773357117217,0.6388888888888887,0.5390023650810439
1310.0,5.0,3.6272212644484974,0.636111111111111,0.535361068492528
1320.0,5.0,3.624092685995868,0.6333333333333332,0.5317554772845607
1330.0,5.0,3.6209974866486556,0.6305555555555554,0.528183575714711
1340.0,5.0,3.617930633943378,0.6277777777777777,0.5246433793869892
1350.0,5.0,3.6148972488095934,0.6249999999999998,0.521133345235579
1360.0,5.0,3.6119006842036763,0.622222222222222,0.5176522645626055
1370.0,5.0,3.6089426752740845,0.6194444444444442,0.5141991695401632
1380.0,5.0,3.6060210724751967,0.6166666666666665,0.5107731519541264
1390.0,5.0,3.6031374824783358,0.6138888888888887,0.5073735074408973
1400.0,5.0,3.6002915122707644,0.6111111111111109,0.5039996361678039
1410.0,5.0,3.597484252324234,0.6083333333333332,0.50065109228734
1420.0,5.0,3.5947202818858,0.6055555555555554,0.49732771390620717
1430.0,5.0,3.591997688326528,0.6027777777777775,0.4940293387975794
1440.0,5.0,3.589316766287907,0.5999999999999999,0.49101040967998444
1450.0,5.0,3.5866744394803267,0.597222222222222,0.4879825512321888
1460.0,5.0,3.584067058607994,0.5944444444444442,0.4849481097858371
1470.0,5.0,3.581493768128569,0.5916666666666665,0.4819092795878896
1480.0,5.0,3.578951730588948,0.5888888888888887,0.4788680312518529
1490.0,5.0,3.5764494154675663,0.5861111111111108,0.4758265662408113
1500.0,5.0,3.573986878517686,0.583333333333333,0.4727869798408358
1510.0,5.0,3.5715633028574656,0.5805555555555553,0.4697512317394186
1520.0,5.0,3.5691797267387417,0.5777777777777774,0.46672122535262106
1530.0,5.0,3.5668225898820687,0.5749999999999996,0.4636982333160047
1540.0,5.0,3.5644970060188808,0.5722222222222219,0.460683658991918
1550.0,5.0,3.5622017180721595,0.5694444444444441,0.45767878145455265
1560.0,5.0,3.5599366967528345,0.5666666666666662,0.4546848098329566
1570.0,5.0,3.5577054370344356,0.5638888888888884,0.4517030271165387
1580.0,5.0,3.555505275025705,0.5611111111111107,0.44873454447082606
1590.0,5.0,3.5533358630868963,0.5583333333333329,0.4457804003346742
1600.0,5.0,3.5511939614355583,0.5555555555555551,0.4436742770053481
1610.0,5.0,3.5490756398570333,0.5527777777777774,0.44150001813439615
1620.0,5.0,3.546981547546545,0.5499999999999996,0.43926236026188636
1630.0,5.0,3.5449102950115137,0.5472222222222218,0.4369658599615012
1640.0,5.0,3.5428640674354384,0.544444444444444,0.4346150120265924
1650.0,5.0,3.540842490138494,0.5416666666666662,0.43221415349386955
1660.0,5.0,3.538844015965936,0.5388888888888884,0.42976741742762103
1670.0,5.0,3.536868063084964,0.5361111111111106,0.4272787647833494
1680.0,5.0,3.53490692760928,0.5333333333333328,0.4247517248347625
1690.0,5.0,3.53296154573357,0.530555555555555,0.422189710597871
1700.0,5.0,3.5310304894900097,0.5277777777777772,0.4195959332104335
