Time_s,TrueAngle,TrueAngVel,MeasAngle,EstAngle,EstAngVel,AngleErr,AngVelErr
1.2700,-0.616409,1.468742,-0.764151,-0.678251,1.327901,-0.061841,-0.140842
1.2800,-0.601722,1.523986,-0.531454,-0.626228,1.489958,-0.024506,-0.034029
1.2900,-0.586482,1.577993,-0.577804,-0.601600,1.571505,-0.015118,-0.006488
1.3000,-0.570702,1.630707,-0.502838,-0.561789,1.688654,0.008913,0.057947
1.3100,-0.554395,1.682072,-0.469708,-0.523085,1.796363,0.031310,0.114291
1.3200,-0.537574,1.732033,-0.469126,-0.494679,1.870883,0.042896,0.138851
1.3300,-0.520254,1.780533,-0.579298,-0.505945,1.837308,0.014309,0.056775
1.3400,-0.502449,1.827518,-0.556026,-0.507429,1.831204,-0.004980,0.003686
1.3500,-0.484174,1.872933,-0.438438,-0.474417,1.915375,0.009756,0.042442
1.3600,-0.465444,1.916723,-0.451434,-0.454153,1.961168,0.011291,0.044444
1.3700,-0.446277,1.958836,-0.509971,-0.456418,1.945287,-0.010141,-0.013549
1.3800,-0.426689,1.999218,-0.311630,-0.400616,2.081164,0.026073,0.081946
1.3900,-0.406696,2.037818,-0.452768,-0.400964,2.062333,0.005732,0.024514
1.4000,-0.386318,2.074587,-0.339432,-0.368478,2.129379,0.017841,0.054792
1.4100,-0.365572,2.109474,-0.469413,-0.382628,2.070576,-0.017056,-0.038898
1.4200,-0.344478,2.142434,-0.200335,-0.315067,2.226716,0.029411,0.084282
1.4300,-0.323053,2.173420,-0.241523,-0.277932,2.293436,0.045122,0.120016
1.4400,-0.301319,2.202390,-0.273754,-0.260436,2.303971,0.040883,0.101581
1.4500,-0.279295,2.229302,-0.364263,-0.274179,2.231719,0.005116,0.002417
1.4600,-0.257002,2.254116,-0.293360,-0.263893,2.224919,-0.006891,-0.029197
1.4700,-0.234461,2.276798,-0.340086,-0.270183,2.174463,-0.035722,-0.102334
1.4800,-0.211693,2.297311,-0.147924,-0.219299,2.273833,-0.007606,-0.023479
